"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GALNT2",0.163129354063352,10.1871012692404,4.15115450873346,0.00149332661363921,0.00675901720471779,-2.19301197601466
"PATZ1",0.496787042539808,4.80883027799035,4.15052062500793,0.00149496498346276,0.00676212013233603,-2.194148208979
"TCEAL1",0.535068177382789,6.00250803524037,4.14962144904187,0.00149729224848008,0.00676833317672809,-2.1957600384556
"TRMU",-0.238518567113365,7.87447594593375,-4.148995452303,0.00149891468953311,0.0067685618214099,-2.19688221968154
"CUEDC1",0.321634068387994,5.6838331273905,4.14886606016451,0.00149925027240473,0.0067685618214099,-2.1971141764228
"DDX46",-0.10251875822494,11.2175942427541,-4.14769182173789,0.00150229927285671,0.00677695696508398,-2.19921926078873
"SRGAP1",-0.179829261025523,7.53665812545936,-4.14735640562784,0.00150317138987681,0.00677695696508398,-2.19982059161295
"FAM8A1",-0.251434760860254,6.15207212983389,-4.14704769798688,0.00150397452726607,0.00677695696508398,-2.20037404862185
"EPS8L3",-0.196838288744948,8.82019870866475,-4.14529026688828,0.00150855518773148,0.00679328437013346,-2.20352496692531
"BET1",0.1526710171003,6.35828960429943,4.14403427690921,0.0015118377514176,0.00680374922118623,-2.20577701437027
"PTPRB",-0.466602176682106,5.7840800991926,-4.14211857364092,0.00151685880160463,0.00682201959124719,-2.2092122282783
"VANGL1",0.253834176245654,7.83049508574107,4.14076350786235,0.00152042088931598,0.00683370934228976,-2.21164231138712
"SGF29",-0.220893105285181,5.50851417455134,-4.13881160327626,0.00152556719054298,0.00685250022233135,-2.21514301120343
"ERBIN",-0.1439111558095,10.7297790405914,-4.13501164842416,0.00153563798197754,0.00689337302852283,-2.22195911828311
"CPM",-0.210010517505806,7.51184031985511,-4.13315710668991,0.00154057803118035,0.00691117717274773,-2.22528613570661
"SNX24",0.272862006642471,5.70552701275418,4.13267038824602,0.00154187726550545,0.00691263610441706,-2.22615935087336
"GEMIN4",-0.172458023337848,9.03825045934996,-4.12839060985008,0.00155335075340573,0.00695718609444746,-2.23383854326601
