"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUFIP2",-0.134303604600509,9.52092671973322,-3.44754509046887,0.00517717086310958,0.0167620354085258,-3.5323019098458
"FUT8",0.142211336824333,9.33326684681387,3.44255591400129,0.00522383338359944,0.0169038947455743,-3.54144258788992
"PDK2",-0.270566103451766,5.6520386260479,-3.44215775858213,0.00522757568734702,0.0169038947455743,-3.54217206155612
"FLNA",0.10477496757979,13.0014687022695,3.44209865308804,0.00522813145928358,0.0169038947455743,-3.54228035083364
"RIC8B",-0.253746620977442,5.87989266647816,-3.44154266252043,0.00523336242074467,0.0169131025045651,-3.54329900286017
"CELF1",-0.149764970519461,8.87149829877642,-3.43818164162054,0.00526509812930815,0.0170033180441719,-3.54945693369991
"ZNF579",0.145073025289427,7.04434424316884,3.43807912602323,0.00526606919277016,0.0170033180441719,-3.54964476070035
"TRAPPC6A",-0.392500768049074,4.29098024990746,-3.43764561358667,0.00527017759565343,0.0170088451097555,-3.5504390346495
"DPAGT1",-0.223742668299908,7.23090310413339,-3.43639407767906,0.00528205678817602,0.0170394350116751,-3.55273208818981
"TXNL4B",-0.299240100535534,6.84434297555306,-3.4345699622353,0.00529941970648891,0.0170876790808504,-3.55607424645029
"DNAJC25",0.100816739664552,8.08681046746593,3.43249239094848,0.00531926614358771,0.0171299722835435,-3.5598808297426
"DDX3X",0.104418093733813,11.0290363040455,3.43247261033349,0.00531945546627524,0.0171299722835435,-3.55991707253702
"RBMX2",-0.222197647609294,6.42219236730487,-3.43243899510215,0.00531977721754682,0.0171299722835435,-3.55997866365008
"RABAC1",-0.143867115457746,7.00998549224488,-3.4311758728665,0.00533188171725465,0.0171611630600255,-3.56229301257703
"CDK16",-0.129585765280151,8.21768017853977,-3.43058651836605,0.00533753911675406,0.0171644933367041,-3.56337285949696
"FKBPL",-0.243094221233234,6.17005839982689,-3.43056419472389,0.00533775352882992,0.0171644933367041,-3.56341376213691
"CCDC117",-0.49180025896084,5.52445421175641,-3.42672230315421,0.00537478504052189,0.0172757470256267,-3.57045316291936
"PURA",-0.122443280504426,9.00734011343412,-3.42587416150028,0.00538299544422256,0.0172943045122895,-3.57200720962757
"EEF2K",-0.200860751611404,7.52402301695346,-3.42433437668511,0.0053979340028015,0.0173344514108064,-3.57482856768989
