"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAB4A",0.0250431339362329,6.18288281127185,0.389085880451205,0.704375791700814,0.78906377078246,-7.78822669986181
"GPR107",0.0164487129271489,8.05728105233774,0.38893821917075,0.704482009558304,0.78906377078246,-7.78828826891065
"GALNT3",-0.0202841445166158,8.71803649663876,-0.388822989429186,0.70456490283901,0.78906377078246,-7.78833629945155
"FRMD6",-0.0360695853077537,5.69282837917529,-0.388520360443304,0.704782625246532,0.789183069008305,-7.78846237652858
"IFI30",0.0456925184309664,4.60765675980254,0.388186891377815,0.705022566963773,0.789327205827717,-7.78860119105974
"PGAP4",0.0240655702579167,5.78101719410619,0.388030801228164,0.705134890304526,0.789328441086944,-7.78866612745904
"PTPN1",0.0140076125334367,10.5123913536448,0.38733071441643,0.705638766474291,0.789767911318096,-7.78895706368204
"WDR13",-0.0155800087236768,7.04196478032459,-0.385928204332096,0.706648641554175,0.790717725216932,-7.78953836753417
"LSS",-0.0133607422583299,9.39100763822761,-0.385842691337865,0.706710234049739,0.790717725216932,-7.78957374399836
"UBP1",-0.0381287293611576,6.39628114476757,-0.384234770847155,0.707868777698562,0.791889141760198,-7.79023751371301
"ZFYVE21",0.0324452630442202,5.38943865290457,0.383496156557768,0.708401224113501,0.792241172375476,-7.79054151761429
"POP1",-0.01661340434236,9.16051531266482,-0.38341118310543,0.708462489496115,0.792241172375476,-7.79057645500514
"SLCO3A1",-0.0287928639380173,4.80863204050307,-0.383333710402544,0.708518348748365,0.792241172375476,-7.79060830183848
"B3GALT5",0.023099261785779,6.3861684273629,0.383091249074387,0.708693179362323,0.792311829542282,-7.79070793029184
"PLOD3",-0.0161055826858458,9.88372685178248,-0.382720190882178,0.708960770561893,0.792486153516736,-7.79086028082784
"DPP8",-0.0234818350868,6.89997617168118,-0.380254134528258,0.710740219634571,0.794350132086071,-7.79186914752584
"B4GALT1",-0.0157600098381518,6.39589389448991,-0.37937947284709,0.711371786476815,0.794930809105015,-7.79222544525031
"GET1",-0.0453663997961922,6.34039170308713,-0.379021070486523,0.711630643072829,0.795065245553425,-7.79237121113575
"MUC15",0.0501182227290595,7.19378002498453,0.378902694802173,0.71171614837268,0.795065245553425,-7.79241932621775
"MYOF",0.0139574574233539,12.7295662100714,0.37819982671812,0.712223929901074,0.79550727581176,-7.79270471271618
"MKRN2",-0.0215480209215597,6.02600721772477,-0.376885417245407,0.713173903690599,0.796442988905142,-7.79323701737605
"MTMR12",0.0183440771752323,8.71233360448558,0.376090505226077,0.713748662362395,0.796959421601984,-7.79355806074668
"VAMP3",0.114904964237708,4.90953512661028,0.375935260377907,0.713860933228662,0.796959421601984,-7.79362068274699
"C2CD5",0.0161965888753297,7.69253917158253,0.375656158176744,0.714062793674054,0.797059397091029,-7.79373320236256
"RRP36",-0.0315260405139375,6.44068023604761,-0.374489863802827,0.71490656103943,0.797791324171723,-7.79420250995045
"SLFN11",-0.035782837916388,6.62845812668361,-0.374439050797158,0.714943331228992,0.797791324171723,-7.7942229243333
"RMDN3",-0.0198154228724139,8.32141286890837,-0.374267924220519,0.715067170342142,0.797804072931643,-7.79429165542502
"UBTD2",0.0255901784537249,5.99708656358449,0.373790783707426,0.715412507457845,0.798063905285811,-7.79448313171717
"ZNF592",0.0287395498083711,6.9873004641868,0.373084684186715,0.715923678278896,0.798428942597618,-7.79476605181112
"DUSP12",-0.0178658599381141,8.45614452705598,-0.373027966744974,0.715964744355537,0.798428942597618,-7.79478875471685
"NDUFA10",0.0128460241365556,9.43690963277845,0.372554849253544,0.716307339879539,0.798685497427351,-7.79497800334558
"ABCB8",0.0374748472353676,4.77294816594166,0.371832144431831,0.716830792725687,0.799143596602922,-7.79526663525807
"PSMG1",-0.02159595251665,7.92197119902223,-0.370672836005307,0.717670791868261,0.799954391375695,-7.79572849416258
"RALBP1",0.014704563442244,8.08761122250799,0.368832734317679,0.719004869132101,0.8013155710161,-7.79645868447448
"BCAM",-0.0270055307368526,6.30527443769954,-0.368237387522976,0.719436705339557,0.801623222789039,-7.79669417070132
"USP25",0.0258305687748557,7.97923669974654,0.368140732503874,0.719506823892656,0.801623222789039,-7.79673236702601
"AKR7A2",-0.0207734208237156,8.54477524283094,-0.367142753839273,0.720230965959105,0.80230405986686,-7.79712617773356
